"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2018","111.47","110.46","114.26","103.00","7.75K","0.91%"
"Nov 26, 2018","110.46","119.01","121.07","107.00","9.30K","-7.18%"
"Nov 25, 2018","119.01","115.10","121.99","103.00","16.64K","3.40%"
"Nov 24, 2018","115.10","125.24","130.00","112.41","8.12K","-8.10%"
"Nov 23, 2018","125.24","126.66","128.78","119.70","10.86K","-1.12%"
"Nov 22, 2018","126.66","138.35","140.09","125.66","5.49K","-8.45%"
"Nov 21, 2018","138.35","133.66","142.00","127.45","6.82K","3.51%"
"Nov 20, 2018","133.66","151.00","154.19","127.59","25.14K","-11.66%"
"Nov 19, 2018","151.31","177.93","178.96","147.65","13.73K","-14.96%"
"Nov 18, 2018","177.93","176.66","182.50","175.17","1.62K","0.72%"
"Nov 17, 2018","176.66","177.67","177.67","174.00","2.27K","-0.57%"
"Nov 16, 2018","177.67","184.28","184.93","174.00","1.75K","-3.59%"
"Nov 15, 2018","184.28","186.78","189.28","171.60","4.98K","-1.24%"
"Nov 14, 2018","186.60","210.96","211.22","177.36","11.46K","-11.55%"
"Nov 13, 2018","210.96","212.00","213.75","209.46","2.22K","-0.49%"
"Nov 12, 2018","212.00","212.58","215.00","211.02","1.22K","-0.27%"
"Nov 11, 2018","212.58","212.49","214.41","209.11","0.75K","0.04%"
"Nov 10, 2018","212.49","211.64","215.94","210.40","0.66K","0.41%"
"Nov 09, 2018","211.64","213.05","215.84","209.50","3.69K","-0.66%"
"Nov 08, 2018","213.05","218.19","220.52","213.05","3.01K","-2.36%"
"Nov 07, 2018","218.19","219.93","224.51","217.00","6.50K","-0.79%"
"Nov 06, 2018","219.93","210.00","220.80","208.79","6.51K","4.73%"
"Nov 05, 2018","210.00","212.62","213.03","207.75","1.17K","-1.23%"
"Nov 04, 2018","212.62","200.49","218.50","198.48","3.44K","6.05%"
"Nov 03, 2018","200.49","201.75","202.90","199.04","0.40K","-0.62%"
"Nov 02, 2018","201.75","199.44","203.71","199.32","1.23K","1.16%"
"Nov 01, 2018","199.44","199.00","200.64","197.72","0.66K","0.22%"
"Oct 31, 2018","199.00","197.93","200.50","193.50","2.31K","0.54%"
"Oct 30, 2018","197.93","196.18","198.78","196.00","0.44K","0.89%"
"Oct 29, 2018","196.18","205.34","205.50","195.60","1.91K","-4.46%"
"Oct 28, 2018","205.34","203.41","205.91","203.41","0.51K","0.95%"
"Oct 27, 2018","203.41","204.50","206.00","203.20","1.31K","-0.53%"
"Oct 26, 2018","204.50","204.19","209.00","203.11","1.22K","0.15%"
"Oct 25, 2018","204.19","205.95","206.25","203.09","1.44K","-0.85%"
"Oct 24, 2018","205.95","205.24","208.05","205.00","1.32K","0.35%"
"Oct 23, 2018","205.24","206.86","208.25","202.55","1.46K","-0.78%"
"Oct 22, 2018","206.86","207.50","209.00","205.10","1.57K","-0.31%"
"Oct 21, 2018","207.50","208.87","211.88","207.41","0.87K","-0.68%"
"Oct 20, 2018","208.91","205.00","209.92","204.00","1.19K","1.91%"
"Oct 19, 2018","205.00","206.00","207.94","204.30","1.89K","-0.49%"
"Oct 18, 2018","206.00","213.67","215.00","204.27","4.08K","-3.56%"
"Oct 17, 2018","213.60","216.14","216.20","211.00","1.56K","-1.18%"
"Oct 16, 2018","216.14","215.21","219.20","211.67","2.09K","0.68%"
"Oct 15, 2018","214.68","196.60","238.00","194.50","27.70K","9.20%"
"Oct 14, 2018","196.60","201.81","203.61","195.00","3.84K","-2.58%"
"Oct 13, 2018","201.81","197.80","202.90","196.50","1.46K","2.19%"
"Oct 12, 2018","197.49","191.65","202.17","190.11","5.90K","3.05%"
"Oct 11, 2018","191.65","226.60","226.60","189.33","18.42K","-15.42%"
"Oct 10, 2018","226.60","228.86","228.86","224.50","2.70K","-0.97%"
"Oct 09, 2018","228.83","230.49","231.41","226.63","2.17K","-0.72%"
"Oct 08, 2018","230.49","225.59","232.00","224.40","5.07K","1.65%"
"Oct 07, 2018","226.76","224.86","227.23","222.00","0.79K","0.84%"
"Oct 06, 2018","224.86","227.60","229.21","223.00","1.72K","-1.76%"
"Oct 05, 2018","228.89","223.34","231.67","219.92","2.55K","2.48%"
"Oct 04, 2018","223.34","221.50","227.01","219.97","2.99K","0.94%"
"Oct 03, 2018","221.26","226.42","226.77","216.90","6.83K","-2.46%"
"Oct 02, 2018","226.84","230.74","232.45","223.83","3.09K","-2.14%"
"Oct 01, 2018","231.81","232.48","235.05","225.05","4.78K","-0.59%"
"Sep 30, 2018","233.18","231.40","238.50","226.37","7.50K","0.51%"
"Sep 29, 2018","232.00","222.00","236.80","214.01","9.04K","4.50%"
"Sep 28, 2018","222.00","228.20","233.60","215.30","11.50K","-2.74%"
"Sep 27, 2018","228.25","214.78","233.88","210.00","9.17K","6.27%"
"Sep 26, 2018","214.78","219.10","222.89","207.78","8.23K","-1.78%"
"Sep 25, 2018","218.68","227.40","227.40","204.00","18.14K","-3.85%"
"Sep 24, 2018","227.44","244.02","246.70","225.22","7.01K","-6.80%"
"Sep 23, 2018","244.02","240.70","249.26","237.00","4.23K","1.38%"
"Sep 22, 2018","240.70","247.55","255.52","233.00","7.86K","-2.93%"
"Sep 21, 2018","247.95","223.59","251.80","220.30","25.39K","10.21%"
"Sep 20, 2018","224.99","210.31","226.03","207.09","10.02K","6.98%"
"Sep 19, 2018","210.31","209.11","214.50","198.16","7.74K","0.55%"
"Sep 18, 2018","209.16","196.47","215.00","194.00","14.58K","6.65%"
"Sep 17, 2018","196.13","220.78","224.65","192.77","25.24K","-11.16%"
"Sep 16, 2018","220.78","222.21","223.10","208.00","10.21K","-0.61%"
"Sep 15, 2018","222.13","208.09","227.15","208.08","14.06K","6.11%"
"Sep 14, 2018","209.35","211.26","224.00","202.29","19.15K","-0.84%"
"Sep 13, 2018","211.12","182.74","215.00","182.74","21.75K","15.53%"
"Sep 12, 2018","182.74","185.36","185.45","167.35","31.18K","-1.41%"
"Sep 11, 2018","185.36","197.21","199.00","176.50","10.90K","-6.01%"
"Sep 10, 2018","197.21","195.58","202.91","187.11","6.94K","0.83%"
"Sep 09, 2018","195.58","196.82","208.69","185.59","14.55K","-0.63%"
"Sep 08, 2018","196.82","215.57","219.90","190.22","9.31K","-8.94%"
"Sep 07, 2018","216.15","229.27","235.00","213.77","5.65K","-5.72%"
"Sep 06, 2018","229.27","228.71","233.45","212.00","11.06K","0.40%"
"Sep 05, 2018","228.36","285.21","288.33","227.00","21.31K","-19.93%"
"Sep 04, 2018","285.21","289.00","292.66","283.33","5.19K","-1.31%"
"Sep 03, 2018","289.00","294.88","296.87","285.92","3.89K","-1.99%"
"Sep 02, 2018","294.87","295.50","300.00","289.34","8.83K","-0.04%"
"Sep 01, 2018","295.00","281.99","302.59","281.99","6.99K","4.61%"
"Aug 31, 2018","282.00","284.21","285.00","277.18","2.78K","-0.78%"
"Aug 30, 2018","284.21","288.42","291.04","272.60","5.49K","-1.35%"
"Aug 29, 2018","288.10","295.47","297.27","283.46","4.50K","-2.49%"
"Aug 28, 2018","295.47","288.00","298.50","282.30","8.36K","2.77%"
"Aug 27, 2018","287.50","274.37","287.50","271.97","3.94K","4.68%"
"Aug 26, 2018","274.64","278.22","278.22","270.00","2.75K","-1.29%"
"Aug 25, 2018","278.22","281.50","282.57","276.10","1.44K","-1.19%"
"Aug 24, 2018","281.56","276.24","283.00","270.49","3.52K","1.93%"
"Aug 23, 2018","276.24","268.25","279.90","268.00","4.07K","2.98%"
"Aug 22, 2018","268.25","281.02","298.51","260.00","9.45K","-4.20%"
"Aug 21, 2018","280.00","271.20","285.11","270.23","4.32K","3.24%"
"Aug 20, 2018","271.20","299.29","303.00","269.90","4.38K","-9.38%"
"Aug 19, 2018","299.27","294.29","306.89","289.13","3.31K","1.69%"
"Aug 18, 2018","294.29","316.00","320.79","282.61","7.50K","-6.87%"
"Aug 17, 2018","316.00","286.69","317.00","284.81","6.29K","10.27%"
"Aug 16, 2018","286.56","280.97","298.40","277.28","5.03K","1.88%"
"Aug 15, 2018","281.26","278.00","303.85","276.28","10.90K","1.31%"
"Aug 14, 2018","277.62","284.00","284.36","250.20","13.86K","-2.25%"
"Aug 13, 2018","284.00","318.12","322.61","281.75","10.02K","-10.73%"
"Aug 12, 2018","318.12","318.57","327.08","314.44","4.36K","0.42%"
"Aug 11, 2018","316.78","330.80","332.51","304.65","8.20K","-4.24%"
"Aug 10, 2018","330.80","364.00","366.31","324.07","5.27K","-8.87%"
"Aug 09, 2018","363.00","354.93","371.00","350.90","3.08K","2.28%"
"Aug 08, 2018","354.93","379.47","380.01","348.37","7.23K","-6.53%"
"Aug 07, 2018","379.74","404.75","411.63","369.46","3.60K","-6.18%"
"Aug 06, 2018","404.75","409.56","413.38","401.22","1.60K","-1.17%"
"Aug 05, 2018","409.56","405.87","412.85","400.25","1.29K","0.60%"
"Aug 04, 2018","407.10","417.75","420.00","402.00","1.52K","-2.77%"
"Aug 03, 2018","418.68","410.70","419.58","397.41","2.58K","1.94%"
"Aug 02, 2018","410.70","418.81","424.76","408.00","2.17K","-1.94%"
"Aug 01, 2018","418.81","433.54","435.08","408.00","6.56K","-3.34%"
"Jul 31, 2018","433.27","456.80","457.88","428.00","3.63K","-5.15%"
"Jul 30, 2018","456.78","466.65","468.39","446.60","2.13K","-2.12%"
"Jul 29, 2018","466.65","468.74","471.49","462.00","1.64K","-0.42%"
