"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2018","6,515.0","6,470.8","6,529.0","6,450.0","0.39K","0.68%"
"Nov 05, 2018","6,470.8","6,480.0","6,498.0","6,438.0","0.12K","-0.14%"
"Nov 04, 2018","6,480.0","6,393.9","6,515.1","6,349.0","0.15K","1.35%"
"Nov 03, 2018","6,393.9","6,440.0","6,447.0","6,322.1","0.10K","-0.72%"
"Nov 02, 2018","6,440.0","6,410.0","6,459.7","6,390.1","0.14K","0.47%"
"Nov 01, 2018","6,410.0","6,355.0","6,440.5","6,353.0","0.19K","0.58%"
"Oct 31, 2018","6,373.0","6,328.0","6,418.0","6,255.0","0.32K","0.57%"
"Oct 30, 2018","6,337.0","6,350.5","6,394.7","6,310.0","0.27K","-0.21%"
"Oct 29, 2018","6,350.5","6,487.1","6,520.0","6,317.0","0.40K","-2.11%"
"Oct 28, 2018","6,487.1","6,509.5","6,524.8","6,466.0","0.08K","-0.34%"
"Oct 27, 2018","6,509.5","6,526.0","6,567.0","6,463.4","0.15K","-0.25%"
"Oct 26, 2018","6,526.0","6,556.6","6,600.0","6,516.4","0.17K","-0.21%"
"Oct 25, 2018","6,540.0","6,552.6","6,595.0","6,506.8","0.18K","-0.19%"
"Oct 24, 2018","6,552.6","6,560.0","6,633.6","6,542.0","0.32K","-0.11%"
"Oct 23, 2018","6,560.0","6,581.0","6,605.3","6,522.0","0.21K","-0.32%"
"Oct 22, 2018","6,581.0","6,600.0","6,644.8","6,555.0","0.24K","-0.29%"
"Oct 21, 2018","6,600.0","6,585.0","6,665.0","6,580.0","0.12K","0.23%"
"Oct 20, 2018","6,585.0","6,530.7","6,624.0","6,509.9","0.12K","0.83%"
"Oct 19, 2018","6,530.7","6,616.0","6,649.0","6,521.0","0.28K","-1.29%"
"Oct 18, 2018","6,616.0","6,725.0","6,785.0","6,577.0","0.53K","-1.62%"
"Oct 17, 2018","6,725.0","6,758.0","6,798.0","6,679.0","0.21K","-0.53%"
"Oct 16, 2018","6,761.0","6,748.0","6,893.0","6,677.1","0.48K","0.16%"
"Oct 15, 2018","6,750.0","6,339.4","7,555.4","6,300.0","3.68K","6.86%"
"Oct 14, 2018","6,316.8","6,327.0","6,404.4","6,303.0","0.66K","-0.16%"
"Oct 13, 2018","6,327.0","6,290.0","6,339.3","6,285.3","0.20K","0.59%"
"Oct 12, 2018","6,290.0","6,245.6","6,360.0","6,208.0","0.43K","0.71%"
"Oct 11, 2018","6,245.6","6,634.9","6,634.9","6,208.0","1.48K","-5.87%"
"Oct 10, 2018","6,634.9","6,673.3","6,681.7","6,530.0","0.37K","-0.58%"
"Oct 09, 2018","6,673.3","6,690.0","6,690.0","6,600.0","0.19K","0.17%"
"Oct 08, 2018","6,662.3","6,630.9","6,710.0","6,570.0","0.36K","1.09%"
"Oct 07, 2018","6,590.6","6,613.1","6,640.1","6,530.0","0.22K","-0.34%"
"Oct 06, 2018","6,613.1","6,635.0","6,652.0","6,558.4","0.18K","-0.33%"
"Oct 05, 2018","6,635.0","6,610.0","6,688.9","6,553.3","0.28K","0.38%"
"Oct 04, 2018","6,610.0","6,530.0","6,645.1","6,495.0","0.31K","1.46%"
"Oct 03, 2018","6,515.0","6,549.0","6,558.4","6,440.0","0.50K","-0.43%"
"Oct 02, 2018","6,543.0","6,627.0","6,642.0","6,500.0","0.47K","-1.27%"
"Oct 01, 2018","6,627.0","6,631.2","6,668.0","6,517.8","0.37K","-0.06%"
"Sep 30, 2018","6,631.2","6,620.0","6,672.2","6,532.6","0.37K","0.77%"
"Sep 29, 2018","6,580.6","6,640.0","6,640.0","6,473.2","0.39K","-0.89%"
"Sep 28, 2018","6,640.0","6,689.5","6,797.5","6,540.7","0.89K","-0.60%"
"Sep 27, 2018","6,680.0","6,474.0","6,739.1","6,440.6","0.84K","3.54%"
"Sep 26, 2018","6,451.8","6,436.0","6,565.4","6,385.0","0.63K","0.15%"
"Sep 25, 2018","6,442.0","6,583.0","6,583.0","6,341.0","0.90K","-2.14%"
"Sep 24, 2018","6,583.0","6,694.6","6,734.0","6,552.0","0.59K","-1.69%"
"Sep 23, 2018","6,695.9","6,728.3","6,799.0","6,652.7","0.39K","-0.48%"
"Sep 22, 2018","6,728.3","6,773.2","6,831.6","6,630.5","0.62K","-0.57%"
"Sep 21, 2018","6,767.0","6,506.5","6,780.8","6,481.3","1.32K","4.25%"
"Sep 20, 2018","6,491.3","6,409.3","6,541.0","6,340.0","0.51K","1.52%"
"Sep 19, 2018","6,393.9","6,323.0","6,515.0","6,132.0","0.62K","1.12%"
"Sep 18, 2018","6,323.0","6,249.8","6,400.0","6,210.0","0.54K","1.17%"
"Sep 17, 2018","6,249.8","6,500.0","6,536.0","6,211.0","0.71K","-3.92%"
"Sep 16, 2018","6,505.0","6,505.6","6,535.4","6,390.3","0.24K","-0.12%"
"Sep 15, 2018","6,512.8","6,490.0","6,573.0","6,456.5","0.28K","0.24%"
"Sep 14, 2018","6,497.0","6,475.0","6,586.3","6,393.2","0.54K","0.34%"
"Sep 13, 2018","6,475.0","6,325.0","6,525.3","6,325.0","0.97K","1.97%"
"Sep 12, 2018","6,350.0","6,309.2","6,350.2","6,200.0","0.49K","1.10%"
"Sep 11, 2018","6,280.8","6,323.0","6,401.8","6,189.8","0.72K","-0.67%"
"Sep 10, 2018","6,323.0","6,240.0","6,355.7","6,227.1","0.50K","1.37%"
"Sep 09, 2018","6,237.5","6,198.2","6,446.3","6,150.0","0.50K","0.82%"
"Sep 08, 2018","6,186.6","6,417.7","6,485.0","6,124.8","0.71K","-3.12%"
"Sep 07, 2018","6,386.0","6,530.4","6,548.0","6,307.7","0.68K","-1.99%"
"Sep 06, 2018","6,515.5","6,689.0","6,726.8","6,313.0","1.92K","-2.80%"
"Sep 05, 2018","6,703.0","7,365.0","7,410.8","6,690.4","1.77K","-9.17%"
"Sep 04, 2018","7,379.9","7,260.0","7,410.0","7,227.0","0.63K","1.65%"
"Sep 03, 2018","7,260.0","7,325.0","7,331.0","7,181.1","0.67K","-0.35%"
"Sep 02, 2018","7,285.2","7,187.5","7,339.0","7,116.5","0.88K","1.32%"
"Sep 01, 2018","7,190.0","7,020.7","7,271.4","7,015.5","1.03K","2.32%"
"Aug 31, 2018","7,027.0","7,005.0","7,080.0","6,880.5","0.73K","0.53%"
"Aug 30, 2018","6,989.8","7,012.0","7,050.0","6,797.0","0.90K","-0.57%"
"Aug 29, 2018","7,030.0","7,079.0","7,124.0","6,923.0","0.89K","-0.68%"
"Aug 28, 2018","7,078.0","6,909.0","7,133.0","6,860.2","1.13K","2.55%"
"Aug 27, 2018","6,901.8","6,710.7","6,911.0","6,650.0","0.70K","2.85%"
"Aug 26, 2018","6,710.7","6,742.4","6,780.0","6,562.8","0.46K","-0.47%"
"Aug 25, 2018","6,742.4","6,680.7","6,785.5","6,650.9","0.69K","0.92%"
"Aug 24, 2018","6,680.7","6,535.7","6,725.0","6,465.3","0.55K","2.42%"
"Aug 23, 2018","6,522.8","6,381.9","6,560.2","6,336.5","0.61K","2.94%"
"Aug 22, 2018","6,336.5","6,476.1","6,850.0","6,255.0","2.03K","-2.06%"
"Aug 21, 2018","6,470.0","6,265.0","6,486.4","6,251.6","0.56K","3.32%"
"Aug 20, 2018","6,262.0","6,485.6","6,515.0","6,231.0","0.65K","-3.45%"
"Aug 19, 2018","6,485.6","6,378.0","6,543.7","6,300.0","0.46K","1.69%"
"Aug 18, 2018","6,378.0","6,599.0","6,625.1","6,290.6","0.97K","-3.34%"
"Aug 17, 2018","6,598.6","6,305.4","6,598.6","6,290.0","1.08K","4.41%"
"Aug 16, 2018","6,320.0","6,280.0","6,474.0","6,207.0","0.80K","1.03%"
"Aug 15, 2018","6,255.7","6,193.4","6,600.0","6,172.3","1.89K","1.16%"
"Aug 14, 2018","6,184.2","6,265.6","6,265.6","5,878.9","2.26K","-1.19%"
"Aug 13, 2018","6,258.7","6,313.7","6,520.0","6,147.9","1.05K","-0.87%"
"Aug 12, 2018","6,313.7","6,243.8","6,440.2","6,158.7","0.63K","1.77%"
"Aug 11, 2018","6,203.7","6,150.0","6,464.2","6,000.0","1.36K","0.87%"
"Aug 10, 2018","6,150.0","6,546.5","6,573.6","6,032.0","1.57K","-5.98%"
"Aug 09, 2018","6,541.3","6,285.0","6,630.0","6,180.0","1.36K","4.08%"
"Aug 08, 2018","6,285.0","6,711.0","6,728.9","6,140.0","2.23K","-6.68%"
"Aug 07, 2018","6,735.0","6,917.4","7,156.0","6,676.1","1.29K","-2.90%"
"Aug 06, 2018","6,936.4","7,040.0","7,161.0","6,851.0","0.75K","-1.47%"
"Aug 05, 2018","7,040.0","6,986.5","7,095.0","6,886.0","0.76K","0.77%"
"Aug 04, 2018","6,986.5","7,404.8","7,490.0","6,945.0","1.18K","-5.65%"
"Aug 03, 2018","7,404.8","7,557.3","7,557.3","7,289.0","1.30K","-1.87%"
"Aug 02, 2018","7,546.1","7,617.5","7,700.0","7,460.0","0.92K","-0.70%"
"Aug 01, 2018","7,599.0","7,725.8","7,759.4","7,425.2","1.25K","-1.64%"
"Jul 31, 2018","7,725.8","8,199.4","8,199.4","7,650.0","1.75K","-5.83%"
"Jul 30, 2018","8,203.9","8,220.0","8,275.5","7,870.0","1.36K","-0.20%"
"Jul 29, 2018","8,220.0","8,230.0","8,286.2","8,125.0","0.54K","-0.21%"
"Jul 28, 2018","8,237.0","8,190.0","8,241.2","8,073.0","0.57K","0.59%"
"Jul 27, 2018","8,189.0","7,954.8","8,287.0","7,811.0","1.28K","3.12%"
"Jul 26, 2018","7,941.0","8,198.9","8,304.8","7,831.0","1.52K","-2.80%"
"Jul 25, 2018","8,170.0","8,406.0","8,498.0","8,034.9","1.71K","-3.06%"
"Jul 24, 2018","8,428.0","7,722.0","8,479.2","7,685.0","2.15K","9.14%"
"Jul 23, 2018","7,722.0","7,396.0","7,800.0","7,378.5","1.51K","4.35%"
"Jul 22, 2018","7,400.0","7,417.0","7,569.3","7,345.0","0.76K","-0.23%"
"Jul 21, 2018","7,417.0","7,325.0","7,461.0","7,190.2","0.72K","1.29%"
"Jul 20, 2018","7,322.2","7,475.0","7,677.0","7,293.7","1.52K","-2.08%"
"Jul 19, 2018","7,478.0","7,360.0","7,543.9","7,265.0","1.30K","1.60%"
"Jul 18, 2018","7,360.0","7,306.6","7,577.7","7,215.0","1.95K","0.73%"
"Jul 17, 2018","7,306.6","6,720.0","7,414.4","6,649.9","2.53K","8.77%"
"Jul 16, 2018","6,717.8","6,360.0","6,735.8","6,330.0","1.34K","5.63%"
"Jul 15, 2018","6,360.0","6,268.9","6,399.0","6,216.2","0.62K","1.45%"
"Jul 14, 2018","6,268.9","6,220.5","6,314.3","6,158.0","0.33K","0.95%"
"Jul 13, 2018","6,210.0","6,240.0","6,328.9","6,111.7","0.55K","-0.43%"
"Jul 12, 2018","6,237.1","6,369.0","6,381.5","6,080.0","1.04K","-1.83%"
"Jul 11, 2018","6,353.6","6,301.0","6,412.4","6,289.0","0.76K","0.84%"
"Jul 10, 2018","6,301.0","6,640.5","6,693.8","6,282.0","1.59K","-5.42%"
"Jul 09, 2018","6,662.0","6,706.7","6,790.0","6,609.6","0.73K","-0.67%"
"Jul 08, 2018","6,706.7","6,776.9","6,800.0","6,680.0","0.73K","-1.04%"
"Jul 07, 2018","6,776.9","6,625.6","6,799.2","6,510.0","0.43K","2.31%"
"Jul 06, 2018","6,624.0","6,536.5","6,630.6","6,448.0","0.78K","1.51%"
"Jul 05, 2018","6,525.7","6,598.3","6,680.0","6,450.0","1.07K","-1.13%"
"Jul 04, 2018","6,600.0","6,527.3","6,800.0","6,400.0","1.29K","1.16%"
"Jul 03, 2018","6,524.6","6,601.8","6,673.9","6,452.0","1.33K","-1.17%"
"Jul 02, 2018","6,601.9","6,369.3","6,667.7","6,265.0","1.85K","3.62%"
"Jul 01, 2018","6,371.3","6,403.2","6,436.9","6,240.0","0.72K","-0.50%"
"Jun 30, 2018","6,403.2","6,200.0","6,500.1","6,174.0","1.21K","3.16%"
"Jun 29, 2018","6,207.2","5,867.1","6,287.9","5,800.0","1.32K","5.80%"
"Jun 28, 2018","5,867.1","6,129.7","6,174.5","5,830.0","1.01K","-4.28%"
"Jun 27, 2018","6,129.7","6,042.8","6,182.6","5,983.1","0.78K","1.23%"
"Jun 26, 2018","6,055.0","6,234.0","6,276.8","6,021.0","1.12K","-2.87%"
"Jun 25, 2018","6,234.0","6,152.0","6,334.8","6,072.0","1.28K","1.33%"
"Jun 24, 2018","6,152.0","6,175.0","6,241.0","5,750.8","2.13K","-0.55%"
"Jun 23, 2018","6,185.8","6,049.0","6,240.0","6,010.0","0.88K","2.26%"
"Jun 22, 2018","6,049.0","6,722.0","6,730.0","5,915.0","2.53K","-9.73%"
"Jun 21, 2018","6,701.0","6,765.4","6,798.8","6,675.6","0.64K","-0.95%"
"Jun 20, 2018","6,765.2","6,734.7","6,804.2","6,540.0","1.65K","0.48%"
"Jun 19, 2018","6,732.9","6,693.0","6,835.0","6,647.6","0.85K","0.60%"
"Jun 18, 2018","6,693.0","6,417.0","6,790.0","6,376.6","1.04K","4.30%"
"Jun 17, 2018","6,417.0","6,490.0","6,570.8","6,414.4","0.53K","-1.12%"
"Jun 16, 2018","6,490.0","6,391.3","6,537.8","6,308.3","0.65K","1.54%"
"Jun 15, 2018","6,391.3","6,658.1","6,660.0","6,360.0","0.85K","-3.54%"
"Jun 14, 2018","6,626.0","6,294.9","6,701.3","6,250.7","1.77K","5.26%"
"Jun 13, 2018","6,294.9","6,541.7","6,600.0","6,140.0","2.27K","-3.76%"
"Jun 12, 2018","6,540.7","6,887.0","6,887.0","6,442.0","1.37K","-4.90%"
"Jun 11, 2018","6,877.3","6,763.8","6,901.7","6,621.0","1.07K","1.72%"
"Jun 10, 2018","6,761.0","7,485.0","7,485.0","6,635.6","2.81K","-10.00%"
"Jun 09, 2018","7,512.4","7,624.5","7,691.8","7,471.5","0.31K","-1.62%"
"Jun 08, 2018","7,636.0","7,677.8","7,719.5","7,535.0","0.61K","-0.56%"
"Jun 07, 2018","7,679.4","7,647.9","7,760.0","7,624.8","0.54K","0.41%"
"Jun 06, 2018","7,647.9","7,612.7","7,686.0","7,455.7","0.72K","0.47%"
"Jun 05, 2018","7,612.0","7,508.9","7,695.3","7,341.0","1.08K","1.37%"
"Jun 04, 2018","7,509.0","7,692.3","7,750.0","7,437.2","1.15K","-2.48%"
"Jun 03, 2018","7,700.0","7,674.0","7,770.0","7,582.1","0.63K","0.65%"
"Jun 02, 2018","7,650.0","7,534.0","7,710.0","7,450.0","0.75K","1.59%"
"Jun 01, 2018","7,530.0","7,492.0","7,619.7","7,351.0","0.82K","0.40%"
"May 31, 2018","7,500.0","7,417.0","7,619.0","7,318.0","1.08K","1.12%"
"May 30, 2018","7,417.0","7,450.0","7,568.0","7,257.0","1.06K","-0.17%"
"May 29, 2018","7,430.0","7,105.0","7,546.4","7,052.0","1.56K","4.90%"
"May 28, 2018","7,083.0","7,375.3","7,415.9","7,066.0","1.36K","-3.74%"
"May 27, 2018","7,358.3","7,348.0","7,385.0","7,224.0","0.60K","0.39%"
"May 26, 2018","7,330.0","7,471.9","7,604.0","7,300.0","0.86K","-1.90%"
"May 25, 2018","7,471.9","7,588.0","7,645.8","7,350.1","1.18K","-1.53%"
"May 24, 2018","7,588.0","7,511.2","7,750.0","7,275.0","1.97K","1.15%"
"May 23, 2018","7,502.0","7,978.0","8,025.0","7,446.0","2.99K","-5.96%"
"May 22, 2018","7,977.1","8,395.5","8,411.6","7,961.0","1.25K","-4.86%"
"May 21, 2018","8,385.0","8,496.2","8,586.0","8,317.0","1.06K","-1.60%"
"May 20, 2018","8,521.0","8,180.0","8,600.0","8,150.1","1.16K","3.60%"
"May 19, 2018","8,225.0","8,187.4","8,380.0","8,130.0","1.13K","0.46%"
"May 18, 2018","8,187.4","8,040.1","8,280.0","7,917.0","1.54K","2.15%"
