"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 20, 2019","30.941","32.218","32.953","30.252","2.27K","-3.96%"
"Jan 19, 2019","32.218","30.849","32.813","30.849","2.27K","4.90%"
"Jan 18, 2019","30.712","31.473","31.473","30.357","0.97K","-2.42%"
"Jan 17, 2019","31.473","31.332","31.573","29.824","1.93K","0.45%"
"Jan 16, 2019","31.332","30.654","31.830","30.592","1.23K","2.21%"
"Jan 15, 2019","30.654","31.750","32.100","30.000","2.48K","-3.45%"
"Jan 14, 2019","31.750","29.627","32.446","29.627","5.75K","8.35%"
"Jan 13, 2019","29.303","31.759","32.631","29.157","3.59K","-7.74%"
"Jan 12, 2019","31.759","31.594","32.053","31.201","2.20K","0.52%"
"Jan 11, 2019","31.594","33.000","33.175","30.836","3.02K","-4.26%"
"Jan 10, 2019","33.000","38.371","38.689","31.565","6.55K","-14.00%"
"Jan 09, 2019","38.371","38.553","39.898","38.000","2.32K","-0.47%"
"Jan 08, 2019","38.553","37.496","40.659","37.185","5.18K","2.82%"
"Jan 07, 2019","37.496","38.275","38.970","36.800","3.88K","-2.04%"
"Jan 06, 2019","38.275","34.351","39.573","33.955","10.66K","11.43%"
"Jan 05, 2019","34.351","31.700","35.750","31.700","5.23K","8.36%"
"Jan 04, 2019","31.700","31.466","32.469","30.714","1.18K","0.74%"
"Jan 03, 2019","31.466","32.640","32.900","30.671","2.45K","-3.90%"
"Jan 02, 2019","32.744","31.606","33.218","31.251","3.72K","3.60%"
"Jan 01, 2019","31.606","29.984","31.670","29.673","2.20K","5.41%"
"Dec 31, 2018","29.984","31.232","31.540","29.500","3.93K","-4.00%"
"Dec 30, 2018","31.232","30.682","31.596","29.635","1.78K","1.79%"
"Dec 29, 2018","30.682","31.710","32.785","30.101","3.45K","-3.24%"
"Dec 28, 2018","31.710","27.538","32.917","27.453","6.75K","15.15%"
"Dec 27, 2018","27.538","30.433","30.731","27.215","4.48K","-9.51%"
"Dec 26, 2018","30.433","30.305","31.570","28.681","3.12K","0.42%"
"Dec 25, 2018","30.305","32.734","32.734","29.364","7.91K","-7.42%"
"Dec 24, 2018","32.734","32.874","36.050","32.200","7.37K","-0.42%"
"Dec 23, 2018","32.874","31.311","33.644","31.050","3.32K","4.99%"
"Dec 22, 2018","31.311","30.315","31.311","29.852","2.06K","3.28%"
